T0	60	60	2	9.55125640369	35.6391012015
T1	60	60	2	6.70551184469	46.0432952264
T2	20	20	2	1.00137061641	7.60503757105
T3	90	90	2	6.39951444756	15.1511078115
T4	90	90	2	18.4162965946	56.0476780611
T5	100	100	2	4.11878586258	30.4260667125
T6	50	50	2	5.27349755449	19.8519057823
T7	60	60	2	3.25876322851	22.8025631393
T8	20	20	2	3.72316704733	7.71871450163
T9	70	70	1	5.91473253028
T10	20	20	1	1.45372524298
T11	80	80	1	1.8159822368
T12	30	30	1	3.57147429439
T13	10	10	1	1.32300464598
T14	50	50	1	0.911127071194
T15	60	60	1	2.58303662873
T16	80	80	1	4.87085887223
T17	80	80	1	8.9351281481
T18	20	20	1	0.228210906397

