T0	10	10	2	0.325575707215	0.979506348135
T1	60	60	2	15.7963278771	34.274458232
T2	60	60	2	9.09710157187	52.6439868541
T3	100	100	2	3.66816925459	19.7916537497
T4	70	70	2	9.01631687961	32.7778867724
T5	10	10	2	0.677416901846	1.63802959983
T6	60	60	2	4.48435472016	34.4835168857
T7	60	60	2	4.17144082447	17.6838724659
T8	10	10	2	0.404648247749	1.71827504768
T9	10	10	2	0.942807209037	2.34884226556
T10	80	80	2	4.5199631736	24.8216920331
T11	10	10	2	0.369942200195	0.369942200195
T12	20	20	1	2.46500979365

