T0	40	40	2	1.49259847894	9.8558528688
T1	10	10	2	0.61057528054	4.06045070969
T2	40	40	2	2.96532895302	13.9990416183
T3	20	20	2	2.60521925991	16.6001377675
T4	10	10	2	1.40666295807	4.91687289656
T5	50	50	2	3.12256301582	19.045850932
T6	20	20	2	1.66210887635	6.59238835273
T7	30	30	2	3.36544333544	10.9605585764
T8	10	10	1	0.271694476396
T9	50	50	1	2.91687396388
T10	100	100	1	7.0585492309
T11	80	80	1	3.78342684975
T12	10	10	1	0.714615266455
T13	10	10	1	1.65638932581
T14	30	30	1	2.78585053185
T15	20	20	1	2.05389562454
T16	10	10	1	1.25902450145
T17	10	10	1	0.991437130889

