T0	30	30	2	0.247635357625	1.70276066291
T1	20	20	2	1.45398327399	9.14890668501
T2	10	10	2	1.31083272736	2.79376712721
T3	10	10	2	0.300071162256	0.918384519402
T4	40	40	2	11.3191577009	35.3168206818
T5	10	10	2	0.531721194954	2.46267745699
T6	10	10	2	0.515718561792	1.90210488276
T7	30	30	2	1.35773961091	9.50083767099
T8	10	10	2	1.71771382234	6.78487472272
T9	40	40	1	12.6667185536
T10	20	20	1	1.4560625709
T11	20	20	1	1.68908364716
T12	10	10	1	0.398393595557
T13	50	50	1	5.75054818918
T14	20	20	1	6.13391763081
T15	80	80	1	10.0883792056
T16	80	80	1	5.41320141867
T17	10	10	1	1.40506215826
T18	10	10	1	2.06439384076

