T0	10	10	2	1.4168802768	6.63309824074
T1	10	10	2	3.11665201011	7.32296553251
T2	100	100	2	6.32010452275	27.440498713
T3	40	40	2	8.93444743672	34.9220978184
T4	30	30	2	3.8046967609	10.3981998247
T5	100	100	2	1.87686473876	5.84032265155
T6	10	10	2	1.25266739137	2.51926302744
T7	70	70	1	9.61885874316
T8	60	60	1	7.40909535664
T9	10	10	1	0.808742175611
T10	30	30	1	3.90931917433
T11	10	10	1	0.523595953918
T12	60	60	1	12.284573974
T13	20	20	1	0.679996704318
T14	10	10	1	1.53372578862
T15	30	30	1	6.36464398453
T16	60	60	1	17.0608668521

