T0	30	30	2	2.62856030061	16.3738897054
T1	60	60	2	2.90372113221	21.4384732572
T2	80	80	2	8.26071461448	24.8068088948
T3	30	30	2	3.01842951632	18.8853219993
T4	10	10	2	1.18597025155	6.72225145216
T5	30	30	2	6.0567665901	18.9155706427
T6	80	80	2	8.87983753477	47.6985291616
T7	10	10	2	0.583241632145	0.583241632145
T8	40	40	1	5.88948610348
T9	20	20	1	6.05517972314
T10	10	10	1	0.822068452429
T11	60	60	1	18.4032092645
T12	10	10	1	0.729185324678
T13	20	20	1	0.269544962007
T14	10	10	1	0.16304865763
T15	20	20	1	0.366040959071
T16	10	10	1	1.50196096422
T17	10	10	1	1.12018728392

