S0	T0	20	20	2	1.27392337301	6.73235148911
S0	T1	80	80	2	1.22865078872	7.29849377339
S0	T3	50	50	2	0.574299480069	3.00289328654
S0	T4	10	10	2	0.185973535518	1.03152192606
S0	T5	10	10	2	0.34095832418	2.15778075615
S0	T12MS5	90	90	1	1.89183876059
S1	T2	10	10	2	1.09385638837	5.38967490121
S1	T6	70	70	2	3.64607792681	26.845324304
S2	T7	30	30	2	2.00438430847	9.79739676722
S2	T8	30	30	2	1.39073519219	9.64174636345
S3	T9	90	90	2	9.84067976098	63.4282105453
S4	T10	20	20	2	1.54704475188	7.07521358408
S4	T11	70	70	2	7.92411487956	25.4940689184
